endereco,valor,area,iptu,condominio,quarto,vaga,banheiro,bairro,tipo,area_servico,espaco_gourmet,piscina,elevador,salao_de_festa,academia,playground,quadra_de_esporte,portaria_24_horas,varanda_gourmet,sauna,spa,comercio,latitude,longitude
Avenida Menino Marcelo,620000,136,NA,450,3,1,3,antares,casas_de_condominio,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-9.6150000088918,-35.7175799951505
Rua Maria Salete de Araújo Oliveira,700000,350,NA,NA,5,2,2,antares,casas_de_condominio,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.66647999999998,-35.73495
Avenida Menino Marcelo,470000,90,NA,NA,3,1,3,antares,casas_de_condominio,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.6150000088918,-35.7175799951505
Rua Governador Francisco Mello,1200000,240,NA,360,3,2,3,antares,casas_de_condominio,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,-9.66647999999998,-35.73495
Residencial Reserva Bella Vista,1550000,315,NA,640,4,4,5,antares,casas_de_condominio,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.63976999999994,-35.7450699999999
Residencial Reserva Bella Vista,1480000,320,NA,850,4,2,5,antares,casas_de_condominio,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.63976999999994,-35.7450699999999
Residencial Reserva Bella Vista,1490000,279,NA,580,4,2,5,antares,casas_de_condominio,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.63976999999994,-35.7450699999999
Residencial Reserva Bella Vista,2200000,415,NA,650,3,2,5,antares,casas_de_condominio,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.63976999999994,-35.7450699999999
Residencial Reserva Bella Vista,1550000,315,NA,640,4,NA,4,antares,casas_de_condominio,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.63976999999994,-35.7450699999999
Residencial Reserva Bella Vista,1650000,315,NA,NA,1,3,5,antares,casas_de_condominio,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.63976999999994,-35.7450699999999
